,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,casualty_home_area_type,casualty_imd_decile,number_of_vehicles,number_of_casualties,day_of_week,first_road_class,speed_limit,junction_detail,junction_control,second_road_class,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,labels
181114,1.0,1,35,6,0,0,0,0,2,9,2,1,5,3,60,1,4,1,0,0,1,1,1,4,0,2,1,19.0
181190,1.0,2,32,6,0,0,0,0,2,8,2,3,5,3,70,5,2,3,2,5,4,1,2,4,0,2,2,11.0
181191,2.0,1,13,3,0,0,2,0,1,5,2,3,5,3,70,5,2,3,2,5,4,1,2,4,0,2,2,11.0
181192,2.0,2,32,6,0,0,2,0,1,5,2,3,5,3,70,5,2,3,2,5,4,1,2,4,0,2,2,11.0
181224,1.0,1,40,7,0,0,0,0,1,7,2,1,7,6,30,1,2,3,0,0,4,7,2,4,0,1,2,11.0
181248,3.0,1,61,9,9,5,0,0,1,1,1,1,3,6,70,9,4,6,0,0,1,2,2,4,0,2,2,19.0
181283,1.0,1,23,5,0,0,0,0,1,1,1,1,5,6,20,1,1,6,0,0,1,9,2,6,0,1,2,13.0
181309,1.0,1,37,7,0,0,0,0,1,3,1,1,4,3,30,3,4,6,0,8,4,1,4,5,1,1,2,20.0
181492,1.0,1,55,8,0,0,0,0,2,10,2,1,7,3,30,9,2,6,0,0,1,2,2,1,0,1,2,16.0
181640,1.0,1,67,10,0,0,0,0,1,10,2,1,7,4,30,1,4,6,0,0,1,4,1,3,0,1,2,18.0
181693,1.0,2,60,9,0,0,0,0,1,3,2,2,6,3,70,1,2,4,0,0,4,1,1,4,0,2,1,19.0
181694,2.0,2,63,9,0,0,1,0,1,3,2,2,6,3,70,1,2,4,0,0,4,1,1,4,0,2,1,19.0
181715,1.0,1,60,9,0,0,0,0,1,10,2,1,3,6,30,9,4,5,0,0,1,1,1,4,0,1,2,19.0
181768,1.0,2,37,7,0,0,0,0,1,4,2,1,4,6,30,3,4,6,0,0,1,2,2,4,0,1,2,19.0
181771,1.0,1,33,6,0,0,0,0,1,2,3,2,5,3,70,1,2,3,0,4,1,2,2,4,0,2,1,19.0
181838,1.0,2,29,6,0,0,0,0,2,3,2,1,1,3,30,1,4,3,0,0,4,1,1,4,0,1,2,19.0
182033,1.0,2,48,8,0,0,0,0,1,3,2,3,7,4,30,6,2,4,0,5,4,2,2,1,0,1,2,16.0
182034,2.0,2,55,8,0,0,2,0,1,9,2,3,7,4,30,6,2,4,0,5,4,2,2,1,0,1,2,16.0
182035,2.0,1,68,10,0,0,2,0,1,9,2,3,7,4,30,6,2,4,0,5,4,2,2,1,0,1,2,16.0
182085,3.0,1,78,11,5,3,0,0,1,10,1,1,3,6,30,9,4,6,0,0,1,1,1,4,0,1,2,19.0
182100,1.0,2,51,8,0,0,0,0,1,3,2,1,1,4,30,3,2,6,0,0,4,2,2,4,0,1,2,19.0
182187,1.0,1,55,8,0,0,0,0,2,5,2,1,3,4,60,3,4,6,0,0,1,1,2,3,0,2,2,18.0
182205,1.0,1,71,10,0,0,0,0,1,5,1,1,6,4,40,3,4,3,0,0,1,1,2,6,0,2,2,13.0
182208,1.0,1,25,5,0,0,0,0,1,4,1,1,7,6,30,3,4,6,0,0,4,1,2,6,0,1,2,13.0
182290,1.0,1,22,5,0,0,0,0,1,10,2,2,2,3,30,1,2,3,0,0,1,1,2,4,0,2,1,19.0
182291,2.0,1,21,5,0,0,0,0,1,5,2,2,2,3,30,1,2,3,0,0,1,1,2,4,0,2,1,19.0
182345,1.0,1,65,9,0,0,0,0,1,1,2,1,4,3,70,1,4,3,0,0,4,2,2,4,0,2,2,11.0
182372,1.0,1,49,8,0,0,0,0,1,4,2,2,3,3,70,3,4,3,0,0,4,2,2,4,0,1,2,19.0
182412,1.0,2,32,6,0,0,0,0,3,5,1,1,3,4,60,3,4,6,0,0,6,1,2,7,0,2,2,22.0
182441,1.0,1,17,4,0,0,0,0,1,2,1,1,5,6,30,3,4,6,0,0,1,1,1,4,0,1,2,11.0
182529,3.0,1,34,6,5,9,0,0,1,9,1,1,2,6,30,3,4,6,0,1,1,1,1,4,0,2,2,19.0
182654,1.0,2,47,8,0,0,0,0,1,10,2,1,4,6,30,6,4,6,0,0,1,1,2,3,0,1,2,18.0
182680,1.0,1,17,4,0,0,0,0,1,4,2,1,2,6,30,6,4,6,0,0,4,2,2,3,0,1,2,10.0
182700,1.0,2,41,7,0,0,0,0,1,5,2,4,6,3,50,1,2,3,0,0,1,1,1,1,0,2,2,8.0
182701,2.0,2,68,10,0,0,1,0,1,5,2,4,6,3,50,1,2,3,0,0,1,1,1,1,0,2,2,8.0
182702,1.0,1,29,6,0,0,0,0,3,3,2,4,6,3,50,1,2,3,0,0,1,1,1,1,0,2,2,8.0
182703,2.0,1,25,5,0,0,0,0,1,2,2,4,6,3,50,1,2,3,0,0,1,1,1,1,0,2,2,8.0
182711,1.0,2,52,8,0,0,0,0,1,1,1,1,7,6,60,3,4,6,0,0,6,1,2,3,0,2,2,10.0
182755,3.0,2,40,7,9,8,0,0,3,3,1,1,5,6,60,9,4,6,0,0,1,1,2,5,0,2,2,20.0
182799,1.0,2,55,8,0,0,0,0,2,4,2,2,2,6,30,6,4,6,0,4,1,1,2,5,0,1,2,20.0
182800,1.0,2,30,6,0,0,0,0,1,9,2,2,2,6,30,6,4,6,0,4,1,1,2,5,0,1,2,20.0
182836,1.0,1,59,9,0,0,0,0,2,10,2,1,5,3,30,3,4,6,0,0,1,1,2,5,0,1,2,20.0
182856,1.0,1,63,9,0,0,0,0,1,10,2,2,2,3,30,6,2,4,0,5,4,1,2,4,0,1,2,19.0
182857,2.0,2,31,6,0,0,1,0,3,8,2,2,2,3,30,6,2,4,0,5,4,1,2,4,0,1,2,19.0
182861,1.0,1,67,10,0,0,0,0,1,4,2,1,4,2,70,5,4,2,0,0,6,1,2,4,0,2,1,19.0
182871,1.0,1,58,9,0,0,0,0,1,2,1,1,2,6,30,3,4,6,0,0,4,1,1,5,0,1,2,12.0
182876,3.0,2,35,6,5,3,0,0,1,7,1,1,3,6,20,3,4,6,0,0,1,1,1,4,0,1,2,19.0
182882,1.0,1,16,4,0,0,0,0,1,7,2,1,5,6,30,8,4,6,0,0,1,9,9,9,0,1,2,23.0
182895,1.0,1,62,9,0,0,0,0,3,8,2,1,1,4,30,3,4,6,0,0,4,1,1,3,0,1,2,18.0
182917,1.0,2,80,11,0,0,0,0,1,7,2,3,1,4,60,3,4,6,0,0,1,1,2,7,0,2,2,22.0
182918,2.0,1,87,11,0,0,2,0,1,7,2,3,1,4,60,3,4,6,0,0,1,1,2,7,0,2,2,22.0
182919,1.0,2,22,5,0,0,0,0,1,10,2,3,1,4,60,3,4,6,0,0,1,1,2,7,0,2,2,22.0
182933,1.0,2,52,8,0,0,0,0,1,8,2,1,3,4,60,3,4,6,0,0,1,1,1,6,0,2,2,13.0
182960,1.0,2,22,5,0,0,0,0,1,5,1,1,7,6,30,3,2,6,0,5,1,1,1,5,0,2,2,12.0
183080,1.0,1,63,9,0,0,0,0,1,8,1,1,1,4,60,9,4,6,0,0,1,1,1,5,0,2,2,12.0
183116,1.0,1,12,3,0,0,0,0,3,6,2,1,7,6,60,3,4,6,0,0,1,1,1,3,0,2,2,10.0
183201,1.0,1,17,4,0,0,0,0,3,8,1,1,4,3,60,5,4,6,0,0,1,2,2,6,0,2,1,21.0
183207,1.0,1,63,9,0,0,0,0,2,5,1,1,6,3,60,3,4,6,0,0,1,5,2,6,0,2,2,13.0
183223,1.0,1,37,7,0,0,0,0,3,6,1,1,1,6,60,8,4,6,0,0,1,2,2,7,0,2,2,22.0
183234,2.0,1,61,9,0,0,0,0,1,9,1,6,1,6,30,3,4,6,0,0,1,2,2,7,0,2,2,22.0
183235,2.0,1,46,8,0,0,0,0,1,10,1,6,1,6,30,3,4,6,0,0,1,2,2,7,0,2,2,22.0
183236,2.0,1,50,8,0,0,0,0,1,9,1,6,1,6,30,3,4,6,0,0,1,2,2,7,0,2,2,22.0
183237,2.0,1,45,7,0,0,0,0,1,8,1,6,1,6,30,3,4,6,0,0,1,2,2,7,0,2,2,22.0
183238,2.0,1,52,8,0,0,0,0,2,10,1,6,1,6,30,3,4,6,0,0,1,2,2,7,0,2,2,22.0
183239,2.0,1,40,7,0,0,0,0,1,10,1,6,1,6,30,3,4,6,0,0,1,2,2,7,0,2,2,22.0
183252,1.0,1,58,9,0,0,0,0,2,9,1,1,6,6,40,9,4,6,0,0,1,1,2,6,0,1,2,21.0
183274,1.0,1,49,8,0,0,0,0,3,5,2,2,2,3,30,8,4,6,0,5,1,1,1,1,0,2,1,16.0
183290,1.0,1,29,6,0,0,0,0,1,10,2,1,7,6,20,6,4,6,0,0,1,1,1,3,0,1,2,18.0
183310,2.0,2,51,8,0,0,2,0,3,8,2,1,2,6,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
183352,1.0,2,62,9,0,0,0,0,1,7,2,1,3,6,30,1,4,6,0,0,1,9,9,9,9,1,2,15.0
183365,3.0,1,67,10,4,3,0,0,1,7,1,1,6,4,30,6,2,4,0,5,1,1,1,4,0,1,2,11.0
183415,1.0,2,30,6,0,0,0,0,1,5,2,1,5,6,60,3,4,6,0,0,1,2,2,7,0,2,2,22.0
183610,1.0,1,37,7,0,0,0,0,1,3,2,5,4,6,30,6,2,3,0,5,7,1,1,1,0,1,2,16.0
183611,1.0,1,33,6,0,0,0,0,1,5,2,5,4,6,30,6,2,3,0,5,7,1,1,1,0,1,2,16.0
183612,2.0,1,19,4,0,0,2,0,1,5,2,5,4,6,30,6,2,3,0,5,7,1,1,1,0,1,2,16.0
183613,2.0,2,23,5,0,0,1,0,1,4,2,5,4,6,30,6,2,3,0,5,7,1,1,1,0,1,2,16.0
183614,2.0,2,21,5,0,0,2,0,1,3,2,5,4,6,30,6,2,3,0,5,7,1,1,1,0,1,2,16.0
183849,1.0,1,30,6,0,0,0,0,1,2,3,2,1,6,30,3,4,6,0,0,1,2,2,4,0,1,2,19.0
183850,2.0,2,72,10,0,0,1,0,1,6,3,2,1,6,30,3,4,6,0,0,1,2,2,4,0,1,2,19.0
183897,1.0,1,30,6,0,0,0,0,1,2,2,1,1,3,40,1,4,3,0,8,1,1,1,1,0,1,2,16.0
184059,1.0,1,64,9,0,0,0,0,1,2,2,2,3,3,40,1,2,3,0,5,1,1,1,1,0,1,2,16.0
184060,1.0,2,60,9,0,0,0,0,1,7,2,2,3,3,40,1,2,3,0,5,1,1,1,1,0,1,2,16.0
184062,1.0,2,63,9,0,0,0,0,1,3,2,1,4,3,40,3,2,6,0,4,1,1,1,4,0,1,2,19.0
184163,1.0,1,18,4,0,0,0,0,1,1,2,1,3,3,40,6,2,5,0,5,1,1,1,4,0,1,2,19.0
184421,1.0,1,81,11,0,0,0,0,1,2,2,1,2,3,40,1,2,3,0,0,1,1,1,1,0,1,1,16.0
184425,1.0,1,69,10,0,0,0,0,1,1,2,1,2,3,40,1,2,3,0,0,1,1,1,1,0,1,1,16.0
184771,1.0,2,21,5,0,0,0,0,1,1,2,1,7,6,30,3,4,3,0,0,1,1,1,4,0,1,2,11.0
184794,1.0,2,54,8,0,0,0,0,1,8,2,1,5,4,30,6,2,6,0,0,1,1,1,2,0,1,2,17.0
184826,1.0,2,25,5,0,0,0,0,1,3,1,1,4,6,60,3,4,6,0,0,1,1,1,6,0,2,2,21.0
185019,1.0,1,23,5,0,0,0,0,1,7,3,3,4,3,60,3,4,6,0,0,1,1,2,7,0,2,2,22.0
185020,2.0,1,23,5,0,0,1,0,1,7,3,3,4,3,60,3,4,6,0,0,1,1,2,7,0,2,2,22.0
185021,1.0,2,30,6,0,0,0,0,1,5,3,3,4,3,60,3,4,6,0,0,1,1,2,7,0,2,2,22.0
185114,1.0,2,25,5,0,0,0,0,1,7,3,4,6,6,50,6,4,6,0,0,1,2,2,3,0,2,2,18.0
185115,1.0,1,54,8,0,0,0,0,1,4,3,4,6,6,50,6,4,6,0,0,1,2,2,3,0,2,2,18.0
185116,2.0,1,14,3,0,0,1,0,1,4,3,4,6,6,50,6,4,6,0,0,1,2,2,3,0,2,2,18.0
185117,1.0,2,54,8,0,0,0,0,1,3,3,4,6,6,50,6,4,6,0,0,1,2,2,3,0,2,2,18.0
185244,1.0,2,19,4,0,0,0,0,1,1,2,3,5,6,60,6,4,6,0,0,6,2,2,3,0,2,2,18.0
185245,2.0,2,24,5,0,0,1,0,1,2,2,3,5,6,60,6,4,6,0,0,6,2,2,3,0,2,2,18.0
185246,1.0,1,50,8,0,0,0,0,1,2,2,3,5,6,60,6,4,6,0,0,6,2,2,3,0,2,2,18.0
185376,1.0,1,60,9,0,0,0,0,2,9,1,1,2,6,60,3,4,6,0,0,1,8,2,7,0,2,2,14.0
185428,1.0,1,32,6,0,0,0,0,1,5,2,1,3,3,40,3,2,6,0,5,4,1,2,1,0,1,2,16.0
185478,3.0,2,77,11,4,1,0,0,1,1,1,1,6,6,20,6,2,6,0,5,4,2,2,4,0,1,2,11.0
185779,1.0,2,37,7,0,0,0,0,1,4,3,4,6,6,30,3,2,6,0,1,1,1,1,4,0,1,2,11.0
185780,2.0,2,16,4,0,0,1,0,1,4,3,4,6,6,30,3,2,6,0,1,1,1,1,4,0,1,2,11.0
185781,1.0,2,41,7,0,0,0,0,1,4,3,4,6,6,30,3,2,6,0,1,1,1,1,4,0,1,2,11.0
185782,2.0,1,39,7,0,0,1,0,1,4,3,4,6,6,30,3,2,6,0,1,1,1,1,4,0,1,2,11.0
185822,1.0,2,40,7,0,0,0,0,1,7,2,2,3,3,40,6,2,4,0,0,4,1,1,4,0,1,2,11.0
185868,1.0,2,30,6,0,0,0,0,1,1,1,1,6,6,30,3,4,6,0,0,1,1,2,6,0,1,2,21.0
185892,1.0,1,47,8,0,0,0,0,1,8,2,1,7,4,30,3,2,3,0,0,6,7,2,4,0,1,2,19.0
185901,1.0,1,40,7,0,0,0,0,1,3,1,1,4,3,60,1,4,3,0,0,5,7,2,4,2,2,2,19.0
186006,1.0,1,15,3,0,0,0,0,1,1,2,1,2,6,30,6,2,6,0,5,1,1,1,5,0,1,2,20.0
186015,1.0,1,52,8,0,0,0,0,1,7,2,1,5,3,40,9,4,4,0,0,1,1,1,4,0,2,2,19.0
186069,1.0,1,43,7,0,0,0,0,1,4,1,1,4,3,40,9,2,3,0,0,1,8,1,4,0,1,2,11.0
186102,1.0,2,35,6,0,0,0,0,1,2,2,2,1,3,50,3,4,6,0,0,1,3,2,4,0,2,2,19.0
186103,2.0,1,9,2,0,0,1,0,1,5,2,2,1,3,50,3,4,6,0,0,1,3,2,4,0,2,2,19.0
186258,3.0,1,50,8,10,9,0,0,1,1,1,1,6,3,40,8,4,6,0,0,1,1,1,4,0,1,2,11.0
186495,1.0,2,53,8,0,0,0,0,1,2,2,1,7,6,40,3,4,6,0,8,4,1,2,1,0,1,2,16.0
186507,1.0,2,27,6,0,0,0,0,1,4,2,1,4,3,30,6,2,3,0,0,1,1,1,4,0,1,2,19.0
186517,1.0,1,60,9,0,0,0,0,1,4,4,1,6,2,70,9,4,2,0,0,6,5,2,4,0,1,1,19.0
186670,1.0,2,56,9,0,0,0,0,1,10,2,1,7,3,30,6,2,6,0,8,1,1,1,4,0,1,2,19.0
186853,1.0,2,25,5,0,0,0,0,1,7,2,1,5,3,60,3,4,6,0,0,1,1,1,1,0,2,2,16.0
186858,1.0,1,29,6,0,0,0,0,1,1,4,1,7,3,30,7,2,6,0,0,4,1,1,4,0,1,2,19.0
187007,1.0,1,20,4,0,0,0,0,1,1,1,1,3,3,30,1,4,3,0,8,1,1,2,6,0,1,2,13.0
187063,1.0,1,19,4,0,0,0,0,1,4,1,1,7,3,60,1,4,6,0,0,4,1,1,4,0,2,2,19.0
187073,1.0,1,23,5,0,0,0,0,1,1,2,1,3,6,30,1,4,6,0,8,1,1,1,1,0,1,2,8.0
187179,1.0,1,39,7,0,0,0,0,1,8,2,1,6,3,30,1,4,6,0,0,1,1,1,6,0,1,2,21.0
187205,1.0,2,48,8,0,0,0,0,1,1,1,1,1,3,40,1,4,6,0,0,5,2,2,5,0,2,2,20.0
187238,1.0,2,56,9,0,0,0,0,2,2,2,1,4,3,40,1,4,6,0,0,1,1,1,6,0,2,2,21.0
187467,1.0,2,49,8,0,0,0,0,3,7,2,1,4,3,70,1,4,6,0,0,1,2,2,4,0,1,1,19.0
187641,1.0,1,40,7,0,0,0,0,1,1,2,1,6,4,30,6,2,6,0,5,4,2,2,4,0,1,2,19.0
187662,1.0,1,35,6,0,0,0,0,1,1,2,1,1,3,40,1,4,6,0,0,1,1,1,1,0,2,2,16.0
187754,1.0,1,58,9,0,0,0,0,1,4,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187755,2.0,1,50,8,0,0,0,4,1,1,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187756,2.0,1,18,4,0,0,0,4,1,8,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187757,2.0,1,16,4,0,0,0,4,1,9,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187758,2.0,2,61,9,0,0,0,4,1,1,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187759,2.0,2,60,9,0,0,0,4,1,1,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187760,2.0,1,52,8,0,0,0,4,1,1,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187761,2.0,2,72,10,0,0,0,4,1,1,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187762,2.0,2,46,8,0,0,0,4,1,2,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187763,2.0,2,16,4,0,0,0,4,1,1,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187764,2.0,2,18,4,0,0,0,4,1,7,2,11,5,4,30,6,1,6,0,5,1,4,1,4,0,1,2,19.0
187991,1.0,1,61,9,0,0,0,0,1,2,2,1,1,3,50,1,2,3,0,5,4,1,2,4,0,1,2,19.0
188478,1.0,2,38,7,0,0,0,0,1,1,2,1,4,4,30,1,4,3,0,0,1,1,2,4,0,1,2,19.0
188868,1.0,2,29,6,0,0,0,0,1,3,2,1,5,3,30,8,4,6,0,4,4,8,2,3,0,1,2,18.0
188874,3.0,1,74,10,5,3,0,0,1,1,1,1,6,6,30,3,4,6,0,0,1,1,2,4,0,1,2,19.0
188893,1.0,2,31,6,0,0,0,0,1,2,2,2,1,3,30,3,4,6,0,0,4,1,2,4,0,1,2,19.0
188894,2.0,1,7,2,0,0,1,0,1,2,2,2,1,3,30,3,4,6,0,0,4,1,2,4,0,1,2,19.0
189027,1.0,2,57,9,0,0,0,0,1,4,2,2,5,3,30,6,2,3,0,5,1,8,1,4,0,1,2,19.0
189028,1.0,1,23,5,0,0,0,0,1,2,2,2,5,3,30,6,2,3,0,5,1,8,1,4,0,1,2,19.0
189131,1.0,1,43,7,0,0,0,0,1,5,2,1,3,6,30,1,4,3,0,0,1,2,2,4,0,1,2,19.0
189158,1.0,1,51,8,0,0,0,0,1,3,2,1,7,3,30,1,2,6,0,5,4,1,1,2,0,1,2,17.0
189342,1.0,2,20,4,0,0,0,0,1,3,2,3,7,3,30,6,2,3,0,5,4,8,1,4,0,1,2,19.0
189343,2.0,1,21,5,0,0,1,0,1,3,2,3,7,3,30,6,2,3,0,5,4,8,1,4,0,1,2,19.0
189344,1.0,1,54,8,0,0,0,0,1,3,2,3,7,3,30,6,2,3,0,5,4,8,1,4,0,1,2,19.0
189551,1.0,1,41,7,0,0,0,0,1,3,2,1,2,3,30,6,2,3,0,5,4,1,1,4,0,1,2,19.0
189620,1.0,2,27,6,0,0,0,0,1,2,2,1,4,3,30,6,4,6,0,4,1,1,1,4,0,1,2,19.0
189775,3.0,2,13,3,4,1,0,0,1,2,1,1,3,6,40,1,4,3,0,8,1,1,1,5,0,1,2,20.0
189806,1.0,1,26,6,0,0,0,0,1,1,1,2,4,6,30,1,4,6,0,0,1,2,2,6,0,1,2,21.0
189807,2.0,1,25,5,0,0,0,0,1,1,1,2,4,6,30,1,4,6,0,0,1,2,2,6,0,1,2,21.0
190128,3.0,1,57,9,9,9,0,0,1,5,2,1,3,6,30,3,4,6,0,0,1,1,1,4,2,1,2,19.0
190183,1.0,1,48,8,0,0,0,0,1,5,2,1,7,3,40,3,4,6,0,4,1,1,1,4,0,1,2,19.0
190190,3.0,1,14,3,4,1,0,0,1,5,1,1,4,3,30,6,4,6,0,4,1,1,2,4,0,1,2,19.0
190191,1.0,2,60,9,0,0,0,0,1,8,2,3,7,6,30,6,4,6,0,0,1,1,1,6,0,1,2,21.0
190192,2.0,2,79,11,0,0,1,0,1,2,2,3,7,6,30,6,4,6,0,0,1,1,1,6,0,1,2,21.0
190193,1.0,2,42,7,0,0,0,0,1,2,2,3,7,6,30,6,4,6,0,0,1,1,1,6,0,1,2,21.0
190227,1.0,1,26,6,0,0,0,0,1,1,2,1,7,4,30,3,4,6,0,0,1,1,1,4,0,1,2,11.0
190404,3.0,1,73,10,8,4,0,0,1,7,1,1,4,6,30,3,4,6,0,0,4,2,2,3,0,1,2,18.0
190474,1.0,1,52,8,0,0,0,0,1,3,2,1,7,3,30,6,2,6,0,5,1,2,2,4,0,1,2,19.0
190837,1.0,1,66,10,0,0,0,0,1,1,4,1,6,3,30,3,2,6,0,5,4,1,1,6,0,1,2,13.0
191019,1.0,1,24,5,0,0,0,0,1,7,1,1,7,3,30,5,4,3,0,0,1,2,2,7,0,2,2,22.0
191155,1.0,1,40,7,0,0,0,0,1,1,2,1,5,3,30,1,2,3,0,0,4,2,2,4,0,2,2,19.0
191236,1.0,1,49,8,0,0,0,0,1,1,2,1,5,3,30,6,2,6,0,0,1,1,2,1,0,1,2,16.0
191449,3.0,1,35,6,9,9,0,0,1,2,1,1,5,1,70,9,4,6,0,0,1,1,1,4,0,2,1,11.0
191471,1.0,1,52,8,0,0,0,0,1,9,1,1,3,3,30,7,4,4,0,0,1,1,1,6,0,1,2,21.0
191489,1.0,1,47,8,0,0,0,0,1,5,1,1,7,4,60,9,4,6,0,0,1,1,1,6,0,2,2,21.0
191512,1.0,1,22,5,0,0,0,0,1,2,2,3,4,3,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
191513,1.0,2,52,8,0,0,0,0,1,6,2,3,4,3,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
191514,2.0,2,34,6,0,0,1,0,1,2,2,3,4,3,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
191539,1.0,2,53,8,0,0,0,0,3,7,2,1,1,6,60,3,4,6,0,0,1,1,1,3,0,2,2,18.0
191678,1.0,1,48,8,0,0,0,0,1,2,1,2,3,3,40,1,4,6,0,0,1,1,1,6,0,2,2,21.0
191679,2.0,2,47,8,0,0,0,0,1,2,1,2,3,3,40,1,4,6,0,0,1,1,1,6,0,2,2,21.0
191934,3.0,1,28,6,6,9,0,0,1,1,1,1,3,3,30,6,2,3,0,0,4,5,5,4,0,1,2,19.0
191940,3.0,1,61,9,6,9,0,0,1,8,1,1,3,3,30,6,2,3,0,0,1,2,2,4,0,1,2,19.0
191982,3.0,2,49,8,9,9,0,0,1,3,1,1,5,6,30,3,4,6,0,0,1,2,2,4,0,1,2,19.0
191983,1.0,1,54,8,0,0,0,0,1,7,2,1,5,4,30,3,4,6,0,0,4,1,1,4,0,1,2,19.0
192127,1.0,1,20,4,0,0,0,0,1,4,2,1,3,3,30,3,2,3,0,5,1,1,1,4,0,1,2,19.0
192167,3.0,1,37,7,6,9,0,0,1,2,1,1,5,6,30,3,4,6,0,0,1,1,1,4,0,2,2,19.0
192179,1.0,2,54,8,0,0,0,0,1,6,2,1,2,3,30,2,4,3,0,8,1,2,2,1,0,2,2,16.0
192258,1.0,1,24,5,0,0,0,0,1,2,1,1,6,6,30,3,4,6,0,0,1,1,1,1,0,2,2,0.0
192291,1.0,1,36,7,0,0,0,0,1,1,2,1,3,6,30,6,4,6,0,0,1,1,1,4,0,1,2,19.0
192299,1.0,2,77,11,0,0,0,0,1,4,2,1,1,3,60,3,4,4,0,0,6,1,1,4,0,2,2,11.0
192386,1.0,1,29,6,0,0,0,0,1,3,1,1,1,3,60,1,4,3,0,0,1,1,1,5,0,2,2,20.0
192450,1.0,2,73,10,0,0,0,0,2,8,1,1,3,4,60,3,4,6,0,0,1,1,2,7,0,2,2,22.0
192828,1.0,2,49,8,0,0,0,0,3,7,2,2,4,4,50,3,4,4,0,0,6,1,1,1,0,2,2,16.0
192829,1.0,1,50,8,0,0,0,0,1,4,2,2,4,4,50,3,4,4,0,0,6,1,1,1,0,2,2,16.0
193183,1.0,1,30,6,0,0,0,0,1,2,1,1,2,6,30,1,4,6,0,0,1,2,2,6,0,2,2,21.0
193194,1.0,2,24,5,0,0,0,0,3,7,2,1,3,4,50,3,4,6,0,0,1,1,2,7,0,2,2,22.0
193222,1.0,2,99,11,0,0,0,0,1,5,1,1,2,3,30,3,4,6,0,0,1,1,1,5,0,1,2,20.0
193231,1.0,1,72,10,0,0,0,0,3,4,1,1,5,6,50,3,4,6,0,0,1,2,2,7,0,2,2,14.0
193400,1.0,1,49,8,0,0,0,0,1,6,2,1,7,3,30,8,4,6,0,0,1,1,1,4,0,1,2,3.0
193407,1.0,1,36,7,0,0,0,0,1,3,2,1,2,6,30,9,2,6,0,0,4,2,2,4,0,1,2,19.0
193446,1.0,2,43,7,0,0,0,0,1,3,2,1,3,3,40,3,1,6,0,0,7,5,2,4,0,1,2,19.0
193484,1.0,2,16,4,0,0,0,0,1,9,1,1,3,6,40,3,4,6,0,0,1,1,2,7,0,1,2,22.0
193533,1.0,1,54,8,0,0,0,0,1,3,2,1,1,3,60,5,4,6,2,0,1,9,1,4,0,2,1,19.0
193578,1.0,2,39,7,0,0,0,0,1,6,2,2,1,3,40,6,2,6,0,5,1,1,1,2,0,1,2,17.0
193579,1.0,2,39,7,0,0,0,0,1,1,2,2,1,3,40,6,2,6,0,5,1,1,1,2,0,1,2,17.0
193637,1.0,1,51,8,0,0,0,0,3,7,2,1,5,5,60,3,4,5,0,0,1,1,1,5,0,2,2,12.0
193697,2.0,2,66,10,0,0,1,0,1,10,2,3,6,3,30,3,4,6,0,0,1,1,1,3,0,2,2,18.0
193698,1.0,1,26,6,0,0,0,0,2,7,2,3,6,3,30,3,4,6,0,0,1,1,1,3,0,2,2,18.0
193699,1.0,1,28,6,0,0,0,0,1,4,2,1,1,6,60,6,4,6,0,0,1,1,1,7,0,2,2,22.0
193753,1.0,1,26,6,0,0,0,0,1,2,2,2,2,5,60,6,4,5,0,0,1,1,1,5,0,2,2,20.0
193754,1.0,1,48,8,0,0,0,0,2,6,2,2,2,5,60,6,4,5,0,0,1,1,1,5,0,2,2,20.0
193757,2.0,1,38,7,0,0,2,0,1,4,1,1,4,3,30,9,2,3,0,0,1,1,1,4,0,1,2,19.0
193912,1.0,1,53,8,0,0,0,0,3,7,2,1,4,6,30,3,4,6,0,0,4,1,1,1,0,1,2,16.0
194108,3.0,1,64,9,9,9,0,0,1,1,1,1,2,6,30,3,4,6,2,0,4,2,2,4,0,1,2,19.0
194339,1.0,1,22,5,0,0,0,0,1,9,3,3,1,3,30,8,2,6,0,0,1,1,1,4,0,1,2,19.0
194343,1.0,1,23,5,0,0,0,0,1,2,2,1,5,3,30,1,4,4,0,0,1,1,2,6,0,1,2,13.0
