,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,casualty_home_area_type,casualty_imd_decile,number_of_vehicles,number_of_casualties,day_of_week,first_road_class,speed_limit,junction_detail,junction_control,second_road_class,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,labels
1977,2.0,2,25,5,0,0,1,0,1,3,2,2,7,4,30,3,4,5,0,0,1,9,9,9,9,1,2,23.0
1999,1.0,1,60,9,0,0,0,0,1,5,2,1,6,3,30,99,9,6,9,9,7,9,9,9,9,1,2,23.0
2017,1.0,1,33,6,0,0,0,0,1,4,2,1,6,6,20,99,9,3,9,9,4,1,1,9,9,1,2,23.0
2037,1.0,1,26,6,0,0,0,0,1,6,3,1,2,5,30,3,4,6,9,9,4,1,1,9,9,1,2,23.0
2059,1.0,1,31,6,0,0,0,0,1,4,1,2,7,6,30,99,9,6,9,9,4,2,2,9,9,1,2,23.0
2093,1.0,1,52,8,0,0,0,0,1,7,2,1,1,5,30,3,4,4,0,0,1,4,1,9,9,1,2,23.0
2098,1.0,1,46,8,0,0,0,0,1,7,1,1,1,6,30,6,9,6,9,9,1,1,1,9,9,1,2,23.0
2110,1.0,1,23,5,0,0,0,0,1,5,2,1,1,3,20,3,2,3,0,0,7,1,2,9,1,1,2,23.0
2115,1.0,2,26,6,0,0,0,0,1,8,1,1,2,3,30,3,2,6,0,0,1,1,4,4,0,2,2,11.0
2118,3.0,1,49,8,1,9,0,0,1,6,1,1,3,6,20,1,4,6,9,1,1,2,2,9,9,1,2,23.0
2127,2.0,1,7,2,0,0,2,0,1,4,3,3,1,3,30,3,4,6,0,1,1,1,1,4,0,1,2,19.0
2128,1.0,1,45,7,0,0,0,0,1,3,3,3,1,3,30,3,4,6,0,1,1,1,1,4,0,1,2,19.0
2129,1.0,2,35,6,0,0,0,0,1,3,3,3,1,3,30,3,4,6,0,1,1,1,1,4,0,1,2,19.0
2140,1.0,1,26,6,0,0,0,0,1,4,2,2,2,5,20,7,9,3,9,9,1,1,1,9,9,1,2,23.0
2141,2.0,1,31,6,0,0,0,0,1,2,2,2,2,5,20,7,9,3,9,9,1,1,1,9,9,1,2,23.0
2162,1.0,2,30,6,0,0,0,0,1,2,2,1,2,6,20,99,9,6,9,1,1,1,1,9,9,1,2,23.0
2187,3.0,2,23,5,10,9,0,0,1,1,1,1,2,6,30,99,9,6,9,9,7,1,1,9,9,1,2,23.0
2193,1.0,1,54,8,0,0,0,0,1,6,2,1,2,3,30,99,9,6,9,9,7,9,9,9,9,1,2,23.0
2195,1.0,1,58,9,0,0,0,0,1,6,2,1,2,3,30,6,9,3,9,9,1,9,9,9,9,1,2,23.0
2198,1.0,1,23,5,0,0,0,0,1,8,2,1,3,4,20,3,4,6,0,0,1,1,2,4,0,1,2,19.0
2203,3.0,2,51,8,5,9,0,0,1,4,1,1,5,3,30,3,9,6,9,9,1,9,9,9,9,1,2,23.0
2208,1.0,1,25,5,0,0,0,0,1,5,2,1,3,4,30,6,9,4,9,9,1,2,2,9,9,1,2,23.0
2213,3.0,2,29,6,1,1,0,0,1,3,1,1,3,5,60,3,4,5,0,1,4,2,1,9,0,1,2,15.0
2246,1.0,1,37,7,0,0,0,0,1,4,2,1,4,3,20,3,4,6,0,0,1,1,1,4,0,1,2,11.0
2247,1.0,2,30,6,0,0,0,0,1,3,2,1,3,4,20,5,9,4,9,9,1,9,9,9,9,1,2,23.0
2252,1.0,1,66,10,0,0,0,0,1,2,2,1,3,3,20,99,9,6,9,9,4,8,2,9,9,1,2,23.0
2255,1.0,1,47,8,0,0,0,0,1,9,2,1,4,3,30,9,2,6,0,5,4,4,1,4,6,1,2,19.0
2258,1.0,1,45,7,0,0,0,0,1,2,2,1,7,3,20,6,9,3,9,9,1,2,9,9,9,1,2,23.0
2261,3.0,2,40,7,5,1,0,0,1,2,1,1,3,3,30,3,9,6,9,9,4,1,1,9,0,1,2,23.0
2278,3.0,2,41,7,5,9,0,0,1,9,1,1,3,6,30,99,9,6,9,9,1,9,2,9,9,1,2,23.0
2313,1.0,1,39,7,0,0,0,0,1,5,2,1,5,6,30,99,9,6,9,9,4,9,9,9,9,1,2,23.0
2321,1.0,2,47,8,0,0,0,0,1,7,2,2,5,5,30,6,4,5,0,0,1,1,1,3,0,1,2,18.0
2322,2.0,2,10,2,0,0,1,0,1,10,2,2,5,5,30,6,4,5,0,0,1,1,1,3,0,1,2,18.0
2340,1.0,1,67,10,0,0,0,0,1,8,2,1,5,3,20,7,2,3,0,5,1,9,9,9,0,1,2,23.0
2355,1.0,1,20,4,0,0,0,0,1,1,2,1,6,3,30,3,4,6,2,5,4,1,1,1,0,1,2,16.0
2379,1.0,1,36,7,0,0,0,0,1,5,2,1,2,3,20,99,9,6,9,9,4,1,1,9,9,1,2,23.0
2395,1.0,1,19,4,0,0,0,0,1,6,2,1,6,3,30,3,4,6,0,0,4,1,1,4,0,1,2,11.0
2440,2.0,1,59,9,0,0,0,3,1,5,1,1,7,5,30,3,4,6,0,4,4,1,1,4,0,1,2,19.0
2486,1.0,1,27,6,0,0,0,0,1,6,1,1,1,3,20,7,1,3,2,0,1,1,1,1,0,1,2,16.0
2520,3.0,2,40,7,10,3,0,0,1,4,1,1,3,6,30,99,9,6,9,0,1,1,1,3,9,1,2,18.0
2560,2.0,1,0,1,0,0,2,0,1,5,2,1,4,5,20,3,4,6,0,0,4,2,2,4,0,1,2,19.0
2563,1.0,1,35,6,0,0,0,0,1,8,2,1,3,3,30,3,9,6,9,9,1,9,9,9,9,1,2,23.0
2565,1.0,1,47,8,0,0,0,0,1,2,2,1,3,3,30,99,9,6,9,9,4,9,9,9,0,1,2,23.0
2573,1.0,2,29,6,0,0,0,0,1,8,1,1,5,6,30,99,9,6,9,9,4,9,9,9,9,2,2,23.0
2579,3.0,2,17,4,5,9,0,0,1,5,1,1,3,6,20,99,9,6,9,1,1,1,9,9,0,1,2,23.0
2583,3.0,2,26,6,10,9,0,0,1,8,1,1,5,5,40,7,9,5,9,9,4,2,9,9,9,1,2,23.0
2594,3.0,1,37,7,10,9,0,0,1,1,1,1,4,4,20,99,2,6,9,9,4,2,2,9,9,1,2,23.0
2624,1.0,1,51,8,0,0,0,0,1,10,1,2,4,3,30,3,4,6,2,4,1,1,1,1,0,1,2,8.0
2625,3.0,1,49,8,4,3,0,0,1,6,1,2,4,3,30,3,4,6,2,4,1,1,1,1,0,1,2,8.0
2655,1.0,1,46,8,0,0,0,0,1,3,2,1,4,5,30,6,2,3,2,4,4,1,1,1,0,1,2,16.0
2660,3.0,1,77,11,10,9,0,0,1,2,1,1,5,6,20,99,9,6,9,9,1,1,1,9,9,1,2,23.0
2664,1.0,1,31,6,0,0,0,0,1,2,2,1,4,3,30,1,2,3,9,9,4,9,9,9,9,1,2,23.0
2668,1.0,1,44,7,0,0,0,0,1,6,2,1,3,6,30,3,4,6,9,9,4,9,9,9,9,1,2,15.0
2675,1.0,1,63,9,0,0,0,0,1,8,2,1,7,3,20,7,9,5,9,4,4,1,1,9,0,1,2,23.0
2677,1.0,1,63,9,0,0,0,0,1,2,2,1,6,3,30,3,9,5,9,9,4,9,1,9,0,1,2,23.0
2682,1.0,1,76,11,0,0,0,0,1,2,1,1,4,3,30,3,4,6,9,9,4,9,9,9,9,1,2,23.0
2683,1.0,1,31,6,0,0,0,0,1,3,2,1,6,3,30,3,9,6,9,0,4,9,1,9,9,1,2,23.0
2695,3.0,1,18,4,5,1,0,0,1,3,1,1,4,3,30,3,4,5,0,0,4,2,2,4,0,1,2,11.0
2705,3.0,1,8,2,10,9,0,0,1,7,1,1,5,6,30,99,9,6,9,9,1,9,9,9,9,1,2,23.0
2725,1.0,1,20,4,0,0,0,0,1,2,2,2,2,3,20,3,2,3,9,9,4,1,1,9,0,1,2,23.0
2726,2.0,1,22,5,0,0,1,0,1,1,2,2,2,3,20,3,2,3,9,9,4,1,1,9,0,1,2,23.0
2728,1.0,2,32,6,0,0,0,0,1,3,2,1,5,3,30,6,4,3,9,9,1,9,9,9,9,1,2,23.0
2734,1.0,1,44,7,0,0,0,0,1,3,2,1,3,3,30,1,4,4,9,9,7,9,9,9,9,1,2,23.0
2735,2.0,1,17,4,0,0,2,0,1,8,3,2,1,3,20,7,9,3,9,9,1,1,9,9,9,1,2,23.0
2737,3.0,1,42,7,8,9,0,0,1,8,1,1,6,6,20,3,4,6,0,4,1,1,1,4,0,1,2,19.0
2751,1.0,1,29,6,0,0,0,0,1,2,2,1,7,4,20,3,4,5,9,9,4,2,2,9,0,1,2,23.0
